Sample-#, CA-V, CA-I, CB-V, CB-I 
80, 0.200885027647, 0.000569829076994, 0.23384450376, 0.00130226218607
81, 0.203021287918, 0.000653753697407, 0.233539327979, 0.00121833756566
82, 0.206530854106, 0.000638494675513, 0.23285266757, 0.0012412260985
83, 0.208056762815, 0.000607976631727, 0.232623785734, 0.00121833756566
84, 0.210345610976, 0.000554570055101, 0.232166022062, 0.00123359658755
85, 0.213092237711, 0.00060034712078, 0.231937140226, 0.00136329827365
86, 0.214999616146, 0.000592717609834, 0.231250479817, 0.00108100636862
87, 0.218738079071, 0.000722419295926, 0.231326773763, 0.0013556687627
88, 0.22026398778, 0.000524052011315, 0.231174185872, 0.00114204245619
89, 0.222400248051, 0.0006690127193, 0.230640113354, 0.00118781952187
90, 0.225223168731, 0.000630865164567, 0.230411231518, 0.00119544903282
91, 0.227512016892, 0.00062323565362, 0.229648277164, 0.00123359658755
92, 0.230563819408, 0.000531681522261, 0.229571983218, 0.00121833756566
93, 0.232623785734, 0.000653753697407, 0.229571983218, 0.00136329827365
94, 0.235217824578, 0.000691901252139, 0.229037925601, 0.00127174414229
95, 0.237659260631, 0.000607976631727, 0.228885322809, 0.0012412260985
96, 0.239948123693, 0.0006690127193, 0.228427559137, 0.00120307854377
97, 0.241550311446, 0.000585088098887, 0.228198677301, 0.00130989169702
98, 0.245059892535, 0.000577458587941, 0.228122383356, 0.00114204245619
99, 0.247730225325, 0.000615606142674, 0.227969780564, 0.00123359658755
100, 0.24963760376, 0.000539311033208, 0.227817192674, 0.00120307854377
101, 0.252079039812, 0.000691901252139, 0.227512016892, 0.00121070805471
102, 0.25345236063, 0.000684271741193, 0.227283135056, 0.00109626539052
103, 0.2572671175, 0.000585088098887, 0.226977944374, 0.00115730147809
104, 0.259708553553, 0.000585088098887, 0.227206841111, 0.00116493098903
105, 0.261844813824, 0.000592717609834, 0.226901650429, 0.00117256049998
106, 0.264438837767, 0.000615606142674, 0.226596474648, 0.00118019001093
107, 0.266498804092, 0.000607976631727, 0.226443886757, 0.00127174414229
108, 0.269321739674, 0.0006690127193, 0.226291298866, 0.0012412260985
109, 0.271610587835, 0.00062323565362, 0.226825356483, 0.00121070805471
110, 0.274128317833, 0.000607976631727, 0.226596474648, 0.00131752120797
111, 0.276264578104, 0.000615606142674, 0.226520180702, 0.00122596707661
112, 0.279774159193, 0.000684271741193, 0.226367592812, 0.00120307854377
113, 0.281300067902, 0.000485904485686, 0.226520180702, 0.00118019001093
114, 0.283665210009, 0.000569829076994, 0.226367592812, 0.00122596707661
115, 0.286259263754, 0.00062323565362, 0.226291298866, 0.00121070805471
116, 0.288166642189, 0.000554570055101, 0.226520180702, 0.00126411463134
117, 0.292210280895, 0.000661383208353, 0.226367592812, 0.00119544903282
118, 0.293583571911, 0.0006690127193, 0.226215004921, 0.00121070805471
119, 0.295414656401, 0.00064612418646, 0.226520180702, 0.00122596707661
120, 0.298313885927, 0.000562199566048, 0.226749062538, 0.00121833756566
121, 0.300526440144, 0.000607976631727, 0.226672768593, 0.00126411463134
122, 0.303730845451, 0.000638494675513, 0.226825356483, 0.00114967196714
123, 0.306019693613, 0.000638494675513, 0.227206841111, 0.00117256049998
124, 0.308079659939, 0.000699530763086, 0.226977944374, 0.00115730147809
125, 0.310826271772, 0.000592717609834, 0.227206841111, 0.00117256049998
126, 0.313267707825, 0.000539311033208, 0.227359429002, 0.0012412260985
127, 0.314869910479, 0.000676642230246, 0.227130547166, 0.00116493098903
128, 0.318379491568, 0.000661383208353, 0.227359429002, 0.00121070805471
129, 0.320973515511, 0.000615606142674, 0.227588310838, 0.00122596707661
130, 0.322957187891, 0.00060034712078, 0.227512016892, 0.00119544903282
131, 0.3253223598, 0.000653753697407, 0.227740898728, 0.00126411463134
132, 0.326619356871, 0.000638494675513, 0.228351265192, 0.00121070805471
133, 0.330586701632, 0.00064612418646, 0.228046089411, 0.00120307854377
134, 0.333104461432, 0.000684271741193, 0.228274971247, 0.00130989169702
135, 0.335088133812, 0.000585088098887, 0.228503853083, 0.00119544903282
136, 0.33760586381, 0.000653753697407, 0.228809028864, 0.00111152441241
137, 0.339513242245, 0.000478274974739, 0.229037925601, 0.00124885560945
138, 0.34256502986, 0.000569829076994, 0.229037925601, 0.00110389490146
139, 0.345159083605, 0.000592717609834, 0.229495689273, 0.00116493098903
140, 0.346913874149, 0.000592717609834, 0.229190513492, 0.00118019001093
141, 0.349660485983, 0.000592717609834, 0.229190513492, 0.00123359658755
142, 0.352941185236, 0.000684271741193, 0.229571983218, 0.00127174414229
143, 0.354619681835, 0.000577458587941, 0.229800865054, 0.0012412260985
