Sample-#, CA-V, CA-I, CB-V, CB-I 
0, 0.00679026497528, 0.000241760135395, 0.0163271538913, 0.000821602938231
1, 0.0122072175145, 0.000249389646342, 0.0188448913395, 0.000821602938231
2, 0.017776761204, 0.000363832310541, 0.0212863348424, 0.000829232449178
3, 0.0214389264584, 0.000447756930953, 0.0231174174696, 0.000875009514857
4, 0.0283817816526, 0.000264648668235, 0.0255588609725, 0.000875009514857
5, 0.0324254222214, 0.00038672084338, 0.0273136496544, 0.000722419295926
6, 0.0371557176113, 0.000394350354327, 0.0292210262269, 0.000836861960124
7, 0.0424200817943, 0.000287537201075, 0.0310521088541, 0.000836861960124
8, 0.0475318543613, 0.000363832310541, 0.0326543077826, 0.000707160274033
9, 0.0514229051769, 0.000272278179182, 0.0344853885472, 0.000760566850659
10, 0.0565346777439, 0.000295166712021, 0.0359349958599, 0.000791084894445
11, 0.0626382827759, 0.000401979865273, 0.0376134887338, 0.000813973427285
12, 0.0663004517555, 0.00040960937622, 0.0388342104852, 0.000813973427285
13, 0.0718699917197, 0.00038672084338, 0.0405889973044, 0.000745307828765
14, 0.0763714015484, 0.000394350354327, 0.0418097190559, 0.000775825872552
15, 0.0814068838954, 0.000310425733915, 0.0431830324233, 0.000836861960124
16, 0.0859845876694, 0.000356202799594, 0.04448004812, 0.000661383208353
17, 0.0913252457976, 0.000447756930953, 0.0456244759262, 0.000821602938231
18, 0.0949874147773, 0.000333314266754, 0.0467689037323, 0.000844491471071
19, 0.101777672768, 0.00040960937622, 0.0481422133744, 0.000752937339712
20, 0.105745024979, 0.000501163478475, 0.0492103472352, 0.000783455383498
21, 0.110322728753, 0.000440127420006, 0.0503547713161, 0.000752937339712
22, 0.115663386881, 0.000447756930953, 0.0514229051769, 0.000844491471071
23, 0.120241090655, 0.000356202799594, 0.0524910353124, 0.000783455383498
24, 0.124971389771, 0.000447756930953, 0.0534828715026, 0.000852120982017
25, 0.12962539494, 0.000524052011315, 0.0543984137475, 0.000691901252139
26, 0.135805293918, 0.000340943777701, 0.0553902499378, 0.000806343916338
27, 0.139620050788, 0.00038672084338, 0.0563057921827, 0.000859750492964
28, 0.145189598203, 0.000508792989422, 0.057145036757, 0.00091315706959
29, 0.149233236909, 0.000485904485686, 0.0581368729472, 0.000859750492964
30, 0.154650181532, 0.000524052011315, 0.0590524151921, 0.000783455383498
31, 0.159304186702, 0.000340943777701, 0.0598153658211, 0.000798714405391
32, 0.164568558335, 0.000417238887167, 0.0605783164501, 0.000844491471071
33, 0.168383300304, 0.000394350354327, 0.0614175647497, 0.000783455383498
34, 0.1750972718, 0.000394350354327, 0.0623331032693, 0.00089026853675
35, 0.178835734725, 0.000440127420006, 0.0629434660077, 0.000859750492964
36, 0.183337152004, 0.000501163478475, 0.0638590082526, 0.000775825872552
37, 0.188906684518, 0.000470645463793, 0.0644693672657, 0.000791084894445
38, 0.193560689688, 0.00040960937622, 0.0653849095106, 0.000638494675513
39, 0.198138400912, 0.000401979865273, 0.0659952685237, 0.000791084894445
40, 0.202868700027, 0.00040960937622, 0.0666819289327, 0.000875009514857
41, 0.208972305059, 0.000424868398113, 0.0673685818911, 0.000737678317819
42, 0.212710767984, 0.000417238887167, 0.0680552348495, 0.000859750492964
43, 0.218356609344, 0.000585088098887, 0.0686656013131, 0.000852120982017
44, 0.222323954105, 0.000440127420006, 0.0692759603262, 0.000791084894445
45, 0.227512016892, 0.000524052011315, 0.0700389072299, 0.000875009514857
