Sample-#, CA-V, CA-I, CB-V, CB-I 
0, 0.00671396963298, 0.000447756930953, 0.0160982683301, 0.000752937339712
1, 0.0122072175145, 0.00043249790906, 0.0189211871475, 0.000836861960124
2, 0.017776761204, 0.000302796222968, 0.0217441059649, 0.000875009514857
3, 0.0214389264584, 0.000340943777701, 0.0237277783453, 0.000798714405391
4, 0.0283054858446, 0.000257019157289, 0.0264744032174, 0.000783455383498
5, 0.0324254222214, 0.00038672084338, 0.0284580755979, 0.000844491471071
6, 0.0373083092272, 0.000302796222968, 0.0304417479783, 0.000783455383498
7, 0.0423437841237, 0.000287537201075, 0.0326543077826, 0.000730048806872
8, 0.0474555566907, 0.000493533967528, 0.0344090946019, 0.000791084894445
9, 0.0514229051769, 0.000333314266754, 0.0363927669823, 0.000768196361605
10, 0.056382086128, 0.000257019157289, 0.0379949659109, 0.000798714405391
11, 0.0627145767212, 0.000440127420006, 0.0399786382914, 0.000829232449178
12, 0.0662241578102, 0.000470645463793, 0.041428245604, 0.000768196361605
13, 0.0717936977744, 0.000249389646342, 0.0431067384779, 0.000813973427285
14, 0.0762951076031, 0.000363832310541, 0.0445563457906, 0.000714789784979
15, 0.081559471786, 0.000356202799594, 0.046005949378, 0.000768196361605
16, 0.0859845876694, 0.00040960937622, 0.0476081483066, 0.000844491471071
17, 0.0913252457976, 0.000401979865273, 0.0488288700581, 0.000707160274033
18, 0.0949874147773, 0.000333314266754, 0.0499732978642, 0.000737678317819
19, 0.101701378822, 0.000401979865273, 0.0514991991222, 0.000791084894445
20, 0.105745024979, 0.000394350354327, 0.0527199208736, 0.000875009514857
21, 0.110322728753, 0.000447756930953, 0.0538643486798, 0.000752937339712
22, 0.115739680827, 0.000470645463793, 0.0551613643765, 0.000768196361605
23, 0.120241090655, 0.000340943777701, 0.0561532005668, 0.000836861960124
24, 0.125123977661, 0.00043249790906, 0.0572976283729, 0.000806343916338
25, 0.129701688886, 0.000447756930953, 0.0584420524538, 0.000882639025804
26, 0.135805293918, 0.000424868398113, 0.0593575946987, 0.000867380003911
27, 0.139543756843, 0.000394350354327, 0.0604257285595, 0.000829232449178
28, 0.145113304257, 0.000524052011315, 0.061493858695, 0.00089026853675
29, 0.149233236909, 0.000379091332434, 0.0623331032693, 0.000791084894445
30, 0.154650181532, 0.000356202799594, 0.0633249431849, 0.000821602938231
31, 0.159304186702, 0.000440127420006, 0.0642404854298, 0.000775825872552
32, 0.164568558335, 0.000440127420006, 0.0651560202241, 0.000768196361605
33, 0.168230712414, 0.000508792989422, 0.0659189745784, 0.000882639025804
34, 0.175020977855, 0.000501163478475, 0.0669871047139, 0.000775825872552
35, 0.17891202867, 0.000401979865273, 0.067597463727, 0.000783455383498
36, 0.183184564114, 0.00043249790906, 0.0685892999172, 0.000836861960124
37, 0.188830390573, 0.000463015952846, 0.0691996663809, 0.000836861960124
38, 0.193636983633, 0.000424868398113, 0.0701152086258, 0.000844491471071
39, 0.198138400912, 0.000440127420006, 0.0708781555295, 0.000775825872552
40, 0.203021287918, 0.000463015952846, 0.0715648159385, 0.000783455383498
41, 0.209048599005, 0.000524052011315, 0.0724040567875, 0.000852120982017
42, 0.21278706193, 0.000546940544154, 0.0730144232512, 0.000791084894445
43, 0.218280315399, 0.000501163478475, 0.0737773701549, 0.000806343916338
44, 0.222323954105, 0.000401979865273, 0.0743877291679, 0.000722419295926
45, 0.227359429002, 0.000463015952846, 0.0752269774675, 0.000745307828765
46, 0.232776373625, 0.000493533967528, 0.0757610425353, 0.000760566850659
47, 0.237659260631, 0.000585088098887, 0.0765239968896, 0.000875009514857
48, 0.241550311446, 0.000501163478475, 0.0770580619574, 0.000829232449178
49, 0.248264282942, 0.000607976631727, 0.077897310257, 0.000875009514857
50, 0.252002745867, 0.000485904485686, 0.0784313753247, 0.000775825872552
51, 0.2564278543, 0.000478274974739, 0.0789654403925, 0.000813973427285
52, 0.262149989605, 0.000539311033208, 0.0796520933509, 0.000791084894445
53, 0.266498804092, 0.000592717609834, 0.0801861584187, 0.000783455383498
54, 0.27153429389, 0.000592717609834, 0.0808728188276, 0.000859750492964
55, 0.276417195797, 0.000546940544154, 0.0814068838954, 0.000844491471071
56, 0.281986713409, 0.000615606142674, 0.0820172429085, 0.000852120982017
57, 0.285877764225, 0.000546940544154, 0.0825513079762, 0.000875009514857
58, 0.29159989953, 0.000524052011315, 0.0831616669893, 0.000737678317819
59, 0.29526206851, 0.000539311033208, 0.0836957320571, 0.000775825872552
60, 0.300526440144, 0.000607976631727, 0.0841535031796, 0.000760566850659
61, 0.306095987558, 0.000546940544154, 0.0848401635885, 0.000791084894445
62, 0.31021592021, 0.000653753697407, 0.0851453393698, 0.000867380003911
63, 0.314793616533, 0.000562199566048, 0.0858319997787, 0.000882639025804
64, 0.321202397346, 0.000630865164567, 0.0862897709012, 0.000737678317819
65, 0.325246065855, 0.000638494675513, 0.0869001299143, 0.000752937339712
66, 0.329442292452, 0.000585088098887, 0.0872816070914, 0.000829232449178
67, 0.335164427757, 0.000508792989422, 0.0878919661045, 0.000768196361605
