Freq.	V(vout)
2.45470891568503e+001	8.36454873969878e-001 -3.96460150357544e-001
2.51188643150958e+001	8.29875212211709e-001 -4.02966418878513e-001
2.57039578276886e+001	8.23077780028098e-001 -4.09468137235410e-001
2.63026799189538e+001	8.16059161181169e-001 -4.15957907353652e-001
2.69153480392691e+001	8.08816199051169e-001 -4.22427982778131e-001
2.75422870333816e+001	8.01346024345130e-001 -4.28870273312153e-001
2.81838293126445e+001	7.93646083433512e-001 -4.35276351783694e-001
2.88403150312660e+001	7.85714167161958e-001 -4.41637463076067e-001
2.95120922666638e+001	7.77548439965306e-001 -4.47944535551422e-001
3.01995172040201e+001	7.69147469090875e-001 -4.54188194984130e-001
3.09029543251359e+001	7.60510253718316e-001 -4.60358781107020e-001
3.16227766016838e+001	7.51636253744183e-001 -4.66446366856427e-001
3.23593656929628e+001	7.42525417981340e-001 -4.72440780382059e-001
3.31131121482591e+001	7.33178211506769e-001 -4.78331629864819e-001
3.38844156139202e+001	7.23595641876710e-001 -4.84108331159880e-001
3.46736850452531e+001	7.13779283915877e-001 -4.89760138253745e-001
3.54813389233575e+001	7.03731302778148e-001 -4.95276176492816e-001
3.63078054770101e+001	6.93454474970177e-001 -5.00645478507479e-001
3.71535229097172e+001	6.82952207027179e-001 -5.05857022720221e-001
3.80189396320561e+001	6.72228551532229e-001 -5.10899774289239e-001
3.89045144994280e+001	6.61288220177027e-001 -5.15762728300924e-001
3.98107170553497e+001	6.50136593573671e-001 -5.20434954986100e-001
4.07380277804112e+001	6.38779727543641e-001 -5.24905646696556e-001
4.16869383470335e+001	6.27224355632202e-001 -5.29164166341083e-001
4.26579518801592e+001	6.15477887623707e-001 -5.33200096944548e-001
4.36515832240165e+001	6.03548403865785e-001 -5.37003291960356e-001
4.46683592150962e+001	5.91444645248005e-001 -5.40563925936836e-001
4.57088189614874e+001	5.79175998722762e-001 -5.43872545112290e-001
4.67735141287197e+001	5.66752478302643e-001 -5.46920117492620e-001
