Freq.	V(vout)
4.57088189614874e+000	9.99175858717549e-001 -2.86960288820177e-002
4.67735141287197e+000	9.99137051652934e-001 -2.93633047734071e-002
4.78630092322637e+000	9.99096418898488e-001 -3.00460420472452e-002
4.89778819368445e+000	9.99053874723367e-001 -3.07445950305767e-002
5.01187233627271e+000	9.99009329386323e-001 -3.14593258893549e-002
5.12861383991364e+000	9.98962688949582e-001 -3.21906047815681e-002
5.24807460249771e+000	9.98913855084225e-001 -3.29388100118492e-002
5.37031796370252e+000	9.98862724866704e-001 -3.37043281874521e-002
5.49540873857623e+000	9.98809190566091e-001 -3.44875543754736e-002
5.62341325190348e+000	9.98753139421677e-001 -3.52888922611796e-002
5.75439937337156e+000	9.98694453410479e-001 -3.61087543072833e-002
5.88843655355588e+000	9.98633009004228e-001 -3.69475619140065e-002
6.02559586074356e+000	9.98568676915388e-001 -3.78057455797359e-002
6.16595001861481e+000	9.98501321831721e-001 -3.86837450620704e-002
6.30957344480192e+000	9.98430802138924e-001 -3.95820095390354e-002
6.45654229034654e+000	9.98356969630823e-001 -4.05009977702155e-002
6.60693448007594e+000	9.98279669206588e-001 -4.14411782575397e-002
6.76082975391980e+000	9.98198738554448e-001 -4.24030294054234e-002
6.91830970918935e+000	9.98114007821313e-001 -4.33870396799489e-002
7.07945784384136e+000	9.98025299267740e-001 -4.43937077667361e-002
7.24435960074988e+000	9.97932426907625e-001 -4.54235427271252e-002
7.41310241300916e+000	9.97835196132000e-001 -4.64770641522618e-002
7.58577575029182e+000	9.97733403316289e-001 -4.75548023146398e-002
7.76247116628690e+000	9.97626835410358e-001 -4.86572983166195e-002
7.94328234724279e+000	9.97515269510666e-001 -4.97851042354003e-002
8.12830516164097e+000	9.97398472413813e-001 -5.09387832638851e-002
8.31763771102669e+000	9.97276200150760e-001 -5.21189098468269e-002
8.51138038202374e+000	9.97148197500955e-001 -5.33260698116020e-002
8.70963589956078e+000	9.97014197485619e-001 -5.45608604929012e-002
8.91250938133743e+000	9.96873920839384e-001 -5.58238908505762e-002
9.12010839355907e+000	9.96727075459478e-001 -5.71157815798212e-002
9.33254300796988e+000	9.96573355831635e-001 -5.84371652128046e-002
9.54992586021433e+000	9.96412442431882e-001 -5.97886862108031e-002
9.77237220955808e+000	9.96244001103341e-001 -6.11710010458168e-002
9.99999999999997e+000	9.96067682407173e-001 -6.25847782705715e-002
1.02329299228075e+001	9.95883120946765e-001 -6.40306985757329e-002
1.04712854805090e+001	9.95689934664275e-001 -6.55094548330738e-002
1.07151930523760e+001	9.95487724108610e-001 -6.70217521232452e-002
1.09647819614318e+001	9.95276071673923e-001 -6.85683077467085e-002
1.12201845430196e+001	9.95054540807711e-001 -7.01498512162811e-002
1.14815362149688e+001	9.94822675187593e-001 -7.17671242296472e-002
1.17489755493953e+001	9.94579997865840e-001 -7.34208806200653e-002
1.20226443461741e+001	9.94326010380752e-001 -7.51118862833908e-002
1.23026877081238e+001	9.94060191833984e-001 -7.68409190794017e-002
1.25892541179416e+001	9.93781997932933e-001 -7.86087687052840e-002
1.28824955169313e+001	9.93490859997330e-001 -8.04162365389930e-002
1.31825673855640e+001	9.93186183929208e-001 -8.22641354500581e-002
1.34896288259165e+001	9.92867349145452e-001 -8.41532895752442e-002
1.38038426460288e+001	9.92533707472196e-001 -8.60845340563189e-002
1.41253754462275e+001	9.92184582000358e-001 -8.80587147370041e-002
1.44543977074592e+001	9.91819265901710e-001 -9.00766878160104e-002
1.47910838816820e+001	9.91437021204918e-001 -9.21393194528662e-002
1.51356124843620e+001	9.91037077531097e-001 -9.42474853230567e-002
1.54881661891248e+001	9.90618630788531e-001 -9.64020701187841e-002
1.58489319246111e+001	9.90180841826309e-001 -9.86039669914494e-002
1.62181009735892e+001	9.89722835046772e-001 -1.00854076931733e-001
1.65958690743755e+001	9.89243696976823e-001 -1.03153308082924e-001
1.69824365246174e+001	9.88742474798306e-001 -1.05502574982922e-001
1.73780082874937e+001	9.88218174837874e-001 -1.07902797730063e-001
1.77827941003892e+001	9.87669761016954e-001 -1.10354901067722e-001
